"filename", "language", "C++", "XML", "JSON", "log", "Database", "comment", "blank", "total"
"g:\Projects\[Mine]\MiniCalculator\.vs\MiniCalculator\project-colors.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"g:\Projects\[Mine]\MiniCalculator\.vs\MiniCalculator\v17\Preview\Browse.VC.db", "Database", 0, 0, 0, 0, 1224332, 0, 12821, 1237153
"g:\Projects\[Mine]\MiniCalculator\Debug\MiniCalculator.Build.CppClean.log", "log", 0, 0, 0, 18, 0, 0, 1, 19
"g:\Projects\[Mine]\MiniCalculator\Debug\MiniCalculator.log", "log", 0, 0, 0, 11, 0, 0, 1, 12
"g:\Projects\[Mine]\MiniCalculator\Exception.h", "C++", 39, 0, 0, 0, 0, 0, 12, 51
"g:\Projects\[Mine]\MiniCalculator\Expr.cpp", "C++", 166, 0, 0, 0, 0, 0, 29, 195
"g:\Projects\[Mine]\MiniCalculator\Expr.h", "C++", 71, 0, 0, 0, 0, 135, 17, 223
"g:\Projects\[Mine]\MiniCalculator\Lexer.cpp", "C++", 94, 0, 0, 0, 0, 7, 29, 130
"g:\Projects\[Mine]\MiniCalculator\Lexer.h", "C++", 25, 0, 0, 0, 0, 0, 4, 29
"g:\Projects\[Mine]\MiniCalculator\MiniCalculator.cpp", "C++", 93, 0, 0, 0, 0, 1, 26, 120
"g:\Projects\[Mine]\MiniCalculator\MiniCalculator.vcxproj", "XML", 0, 164, 0, 0, 0, 0, 0, 164
"g:\Projects\[Mine]\MiniCalculator\Parser.cpp", "C++", 132, 0, 0, 0, 0, 0, 23, 155
"g:\Projects\[Mine]\MiniCalculator\Parser.h", "C++", 28, 0, 0, 0, 0, 12, 10, 50
"g:\Projects\[Mine]\MiniCalculator\Polyomial.cpp", "C++", 161, 0, 0, 0, 0, 0, 44, 205
"g:\Projects\[Mine]\MiniCalculator\Polyomial.h", "C++", 30, 0, 0, 0, 0, 0, 7, 37
"g:\Projects\[Mine]\MiniCalculator\Test.cpp", "C++", 99, 0, 0, 0, 0, 0, 26, 125
"g:\Projects\[Mine]\MiniCalculator\Token.h", "C++", 30, 0, 0, 0, 0, 27, 8, 65
"g:\Projects\[Mine]\MiniCalculator\Utils.cpp", "C++", 113, 0, 0, 0, 0, 0, 23, 136
"g:\Projects\[Mine]\MiniCalculator\Utils.h", "C++", 41, 0, 0, 0, 0, 10, 12, 63
"Total", "-", 1122, 164, 16, 29, 1224332, 192, 13093, 1238948
